28:ac:9e:52:88:98,PKL-A-FL12-AP04,10.14.34.141
38:0e:4d:bf:4f:6c,PKL-C-FL13-AP09,10.14.39.137
00:5d:73:2b:bb:36,PKL-B-FL11-AP08,10.14.37.211
4c:77:6d:21:53:44,PKL-B-FL01-AP05,10.14.36.234
b4:de:31:32:8e:9c,PKL-B-FL06-AP09,10.14.37.66
38:0e:4d:bf:4f:6e,PKL-C-FL11-AP01,10.14.39.68
28:ac:9e:52:87:14,PKL-A-FL12-AP07,10.14.34.133
38:0e:4d:f6:9c:fe,PKL-C-FL08-AP14,10.14.39.16
70:b3:17:41:1b:56,CHA-9042-0502-CCC-AP.1B56,100.97.147.85
38:0e:4d:6f:d5:22,PKL-B-FL09-AP06,10.14.37.134
28:ac:9e:e6:02:f0,PKL-A-FL12-AP03,10.14.34.132
28:ac:9e:52:78:b0,PKL-A-FL14-AP04,10.14.35.4
50:1c:b0:50:27:10,SRB-HIM-000-FL-04-AP-01,100.107.105.68
00:fc:ba:2a:07:da,PKL-A-FL13-AP04,10.14.34.201
28:ac:9e:52:6b:08,PKL-B-FL06-AP13,10.14.37.70
28:ac:9e:52:86:fe,PKL-A-FL11-AP06,10.14.34.77
70:7d:b9:56:88:24,PKL-C-FL05-AP09,10.14.38.133
50:1c:b0:54:49:50,SML-001-FL-02-AP-04,100.107.180.36
70:b3:17:41:15:2e,EKB-DD-RVC-FL06-AP.152E,100.108.200.130
38:0e:4d:f6:9c:3a,PKL-C-FL05-AP15,10.14.38.144
28:ac:9e:57:9d:b4,PKL-A-FL16-AP01,10.14.35.133
50:0f:80:59:53:62,PKL-B-FL11-AP05,10.14.37.194
00:fc:ba:2a:07:d6,PKL-A-FL02-AP12,10.14.32.11
70:7d:b9:56:89:06,PKL-C-FL11-AP06,10.14.39.112
50:1c:b0:50:32:b0,SML-001-FL-04-AP-10,100.107.180.17
50:1c:b0:50:30:48,TUL-KOM-31-FL03-AP22,100.107.208.184
4c:77:6d:21:79:c2,PKL-C-FL06-AP02,10.14.38.201
70:b3:17:0c:91:ba,SER-9042-0602-CCC-AP01,100.97.147.4
50:1c:b0:50:3f:18,TUL-KOM-31-FL02-AP17,100.107.208.141
4c:77:6d:e2:16:50,PKL-A-FL08-AP01,10.14.33.138
38:0e:4d:6f:cd:7a,PKL-B-FL07-AP05,10.14.37.78
4c:77:6d:e2:2d:3c,PKL-B-FL02-AP09,10.14.36.194
28:ac:9e:52:83:e6,PKL-B-FL06-AP10,10.14.37.67
00:fc:ba:2a:07:e6,PKL-A-FL06-AP06,10.14.33.10
70:b3:17:52:8a:52,EKB-DD-RVC-FL06-AP.8A52,100.108.200.131
28:ac:9e:e6:14:80,PKL-B-FL05-AP03,10.14.37.18
4c:77:6d:61:7d:d2,PKL-B-FL12-AP05,10.14.38.29
b4:de:31:74:ab:28,PKL-C-FL02-AP05,10.14.38.80
50:1c:b0:50:3c:e0,TUL-KOM-31-FL02-AP02,100.107.208.144
4c:77:6d:61:5a:5a,PKL-B-FL13-AP15,10.14.38.9
b4:de:31:81:ec:40,PKL-C-FL06-AP09,10.14.38.197
50:1c:b0:50:1d:30,TUL-KOM-31-FL02-AP06,100.107.208.140
00:fc:ba:75:45:22,PKL-A-FL15-AP14,10.14.35.68
00:fc:ba:29:e9:e4,PKL-A-FL14-AP08,10.14.35.8
b4:de:31:81:ec:74,PKL-B-FL12-AP11,10.14.38.5
4c:77:6d:e2:31:04,PKL-B-FL05-AP09,10.14.37.10
