UPO12-B01-FL06-AP-01, 04b0-e749-efa0, 10.14.1.129 
UPO12-B01-FL04-AP-27, 04b0-e749-e460, 10.14.1.106 
UPO12-B01-FL02-AP-28, 8866-3904-0580, 10.14.1.130 
UPO12-B01-FL04-AP-25, 04b0-e749-e360, 10.14.1.132 
UPO12-B01-FL04-AP-20, 04b0-e749-ef80, 10.14.1.133 
UPO12-B01-FL12-AP-12, 8866-3904-10a0, 10.14.2.13 
UPO12-B01-FL09-AP-11, 8866-3903-f1c0, 10.14.2.12 
UPO12-B01-FL12-AP-06, 8866-3903-f940, 10.14.2.8 
1.02.006/02-aae4-2600, 745a-aae4-2600, 10.14.1.135 
UPO12-B01-FL04-AP-07, 8866-3904-2380, 10.14.1.174 
04b0-e749-e3e0, 04b0-e749-e3e0, 10.14.1.141 
UPO12-B01-FL06-AP-24, 8866-3904-25c0, 10.14.1.127 
UPO12-B01-FL05-AP-07, 04b0-e74a-1680, 10.14.1.146 
UPO12-B01-FL07-AP-29, 8866-3904-2060, 10.14.1.150 
UPO12-B01-FL04-AP-17, 04b0-e749-ef20, 10.14.1.149 
UPO12-B01-FL11-AP-13, 8866-3904-16e0, 10.14.2.38 
UPO12-B01-FL05-AP-04, 0425-c58b-97a0, 10.14.1.140 
UPO12-B01-FL12-AP-16, 8866-3903-f8c0, 10.14.2.3 
04b0-e749-e480, 04b0-e749-e480, 10.14.1.144 
UPO12-B01-FL02-AP-03, 8866-3903-f980, 10.14.1.145 
UPO12-B01-FL07-AP-23, 8866-3903-e180, 10.14.1.157 
UPO12-B01-FL02-AP-07, 8866-3904-01c0, 10.14.1.147 
UPO12-B01-FL06-AP-20, 8866-3904-2600, 10.14.1.153 
UPO12-B01-FL06-AP-13, 8866-3904-05a0, 10.14.1.98 
UPO12-B01-FL05-AP-05, 04b0-e74a-1640, 10.14.1.156 
04b0-e749-e860, 04b0-e749-e860, 10.14.1.155 
UPO12-B01-FL10-AP-17, 8866-3903-f460, 10.14.2.40 
UPO12-B01-FL07-AP-03, 8866-3904-02e0, 10.14.1.80 
UPO12-B01-FL11-AP-08, 8866-3904-1720, 10.14.2.32 
UPO12-B01-FL10-AP-21, 8866-3903-f520, 10.14.2.75 
UPO12-B01-FL10-AP-16, 8866-3903-f4e0, 10.14.2.21 
UPO12-B01-FL04-AP-03, 8866-3904-04e0, 10.14.1.163 
UPO12-B01-FL09-AP-22, 8866-3904-1ce0, 10.14.2.2 
UPO12-B01-FL13-AP-25, 8866-3904-1da0, 10.14.2.48 
UPO12-B01-FL09-AP-03, 8866-3904-1b20, 10.14.2.24 
UPO12-B01-FL05-AP-14, 04b0-e74a-16c0, 10.14.1.89 
UPO12-B01-FL09-AP-10, 8866-3903-fe40, 10.14.2.116 
8866-3904-0380, 8866-3904-0380, 10.14.1.171 
UPO12-B01-FL13-AP-01, 8866-3904-1c00, 10.14.2.25 
UPO12-B01-FL10-AP-20, 8866-3903-f7e0, 10.14.2.22 
UPO12-B01-FL04-AP-24, 04b0-e749-e380, 10.14.1.161 
UPO12-B01-FL12-AP-20, 8866-3903-f920, 10.14.2.15 
UPO12-B01-FL07-AP-22, 8866-3904-1f80, 10.14.1.168 
UPO12-B01-FL10-AP-11, 8866-3903-f7c0, 10.14.2.52 
UPO12-B01-FL10-AP-09, 8866-3903-f800, 10.14.2.17 
UPO12-B01-FL02-AP-06, 8866-3904-0220, 10.14.1.159 
UPO12-B01-FL05-AP-17, 04b0-e74a-1840, 10.14.1.164 
UPO12-B01-FL13-AP-15, 8866-3904-0b80, 10.14.2.44 
UPO12-B01-FL07-AP-19, 8866-3904-0660, 10.14.1.158 
UPO12-B01-FL13-AP-04, 8866-3904-1e60, 10.14.2.19 
UPO12-B01-FL08-AP-02, 8866-3903-f880, 10.14.2.53 
UPO12-B01-FL09-AP-06, 8866-3903-fea0, 10.14.2.4 
UPO12-B01-FL12-AP-14, 8866-3904-1b40, 10.14.2.23 
UPO12-B01-FL10-AP-05, 8866-3903-f9e0, 10.14.2.27 
UPO12-B01-FL11-AP-25, 8866-3903-f420, 10.14.2.91 
8866-3904-1a40, 8866-3904-1a40, 10.14.2.6 
UPO12-B01-FL11-AP-12, 8866-3904-15a0, 10.14.2.37 
UPO12-B01-FL09-AP-21, 8866-3904-1d60, 10.14.2.9 
UPO12-B01-FL09-AP-23, 8866-3903-fb80, 10.14.2.124 
UPO12-B01-FL12-AP-07, 8866-3903-fc00, 10.14.2.46 
UPO12-B01-FL11-AP-04, 8866-3904-17a0, 10.14.2.64 
UPO12-B01-FL09-AP-15, 8866-3903-ff00, 10.14.2.47 
UPO12-B01-FL08-AP-17, 8866-3903-f5a0, 10.14.2.26 
UPO12-B01-FL11-AP-07, 8866-3903-f3c0, 10.14.2.68 
UPO12-B01-FL13-AP-18, 8866-3903-f400, 10.14.2.79 
UPO12-B01-FL13-AP-08, 8866-3904-0b20, 10.14.2.35 
UPO12-B01-FL13-AP-17, 8866-3903-fd00, 10.14.2.87 
UPO12-B01-FL08-AP-01, 8866-3904-1cc0, 10.14.2.109 
UPO12-B01-FL08-AP-10, 8866-3903-f1e0, 10.14.2.67 
UPO12-B01-FL09-AP-13, 8866-3903-fb00, 10.14.2.42 
UPO12-B01-FL13-AP-19, 8866-3904-0a40, 10.14.2.45 
UPO12-B01-FL08-AP-13, 8866-3903-f580, 10.14.2.54 
UPO12-B01-FL10-AP-03, 8866-3903-f480, 10.14.2.16 
UPO12-B01-FL12-AP-10, 8866-3903-f380, 10.14.2.102 
UPO12-B01-FL13-AP-14, 8866-3903-f7a0, 10.14.2.1 
UPO12-B01-FL08-AP-07, 8866-3903-f5c0, 10.14.2.105 
UPO12-B01-FL10-AP-01, 8866-3903-dca0, 10.14.2.99 
UPO12-B01-FL12-AP-11, 8866-3904-1ac0, 10.14.2.74 
UPO12-B01-FL08-AP-04, 8866-3904-1be0, 10.14.2.101 
UPO12-B01-FL12-AP-09, 8866-3904-16c0, 10.14.2.30 
